sale_date,sale_price,latitude,longitude,city,zoning,subdivision,present_use,land_val,imp_val,year_built,sqft_lot,sqft,stories,beds,bath_full,wfnt,golf,greenbelt,noise_traffic,view_rainier,view_olympics,view_cascades,view_territorial,view_skyline,view_sound,view_lakewash,view_lakesamm
2020-01-05,411900,47.4682888729814,-122.348668566587,BURIEN,R-6,DASHLEYS ADD NO. 02,2,50000,42000,1918,7620,860,1.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-16,380600,47.7697029577746,-122.115999842749,WOODINVILLE,R-1,,2,147000,45000,1946,104979,1130,1.0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-24,562650,47.4801984800746,-122.347540862348,BURIEN,R-6,LINDE TERRACE NO. 04,2,45000,85000,1944,8600,1410,1.0,4,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-06,500500,47.4623341733097,-122.358717286006,BURIEN,R-6,LYNMAR NO. 02,2,60000,77000,1923,8625,1400,1.0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-18,588000,47.4597636399724,-122.354998408888,BURIEN,R-6,LAKE BURIEN WATERFRONT TRS,2,60000,72300,1942,9152,1650,1.0,3,1,0,0,0,1,0,0,0,0,0,0,0,0
2020-09-16,486000,47.480365430712,-122.336106803699,BURIEN,R-6,LINDE TERRACE ADD,2,45000,77000,1943,8775,920,1.0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-09,700000,47.4633479751814,-122.360947587852,BURIEN,R-6,EMONDALE ADD,2,65000,44000,1926,7847,620,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-13,1920000,47.6374968501427,-122.161162336962,BELLEVUE,R-1,KANTOR LANE HEIGHTS ADD,2,221000,137000,1967,34830,1920,1.0,4,1,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-18,507000,47.4808944308998,-122.340127050435,BURIEN,R-6,LINDE TERRACE NO. 03,2,45000,37200,1944,11250,1490,1.0,2,1,0,0,0,1,0,0,0,0,0,0,0,0
2021-04-05,1510000,47.4672968052188,-122.364159582426,BURIEN,R-4,,2,95800,272000,1995,11031,2610,2.0,3,2,0,0,0,0,0,1,0,0,0,1,0,0
