list_date,list_price,sold_date,sold_price,beds,baths,sqft,lot_sqft,city,street,zip,latitude,longitude
1/23/2025,500000,2/28/2025,505003,3,2,1636,5009,Saint Paul,2098 Pinehurst Ave,55116,44.918628,-93.189055
9/3/2024,189900,12/11/2024,189900,2,1,832,4792,Saint Paul,536 Edmund Ave,55103,44.958192,-93.122838
12/20/2024,275000,1/10/2025,266800,3,1,1297,6534,Saint Paul,967 California Ave W,55117,44.991249,-93.140914
12/1/2024,324900,1/31/2025,325000,3,1.5,2185,6055,Saint Paul,627-629 Minnehaha Ave E,55130,44.963264,-93.074138
11/19/2024,214900,1/9/2025,210000,2,1,926,5001,Saint Paul,1631 Woodbridge St,55117,44.990397,-93.108765
11/15/2024,374900,12/13/2024,391000,3,1.5,1534,4966,Saint Paul,1246 Bayard Ave,55116,44.922167,-93.152861
1/31/2025,209900,3/31/2025,209900,2,1.5,904,4704,Saint Paul,868 Algonquin Ave,55119,44.967562,-93.017718
3/18/2025,425000,4/8/2025,475000,4,1,1750,7362,Saint Paul,2129 Sargent Ave,55105,44.935472,-93.190323
10/24/2024,585000,12/12/2024,575000,5,2.5,3945,10629,Saint Paul,1893 Marshall Ave,55104,44.948731,-93.18017
10/4/2024,259900,1/10/2025,260000,3,2,1141,6186,Saint Paul,46 Orange Ave W,55117,44.979017,-93.102185
1/25/2025,264900,2/28/2025,285000,2,1,1138,7841,Saint Paul,994 Chatsworth St N,55103,44.971162,-93.141206
1/2/2025,429900,2/28/2025,429900,3,2,1761,6098,Saint Paul,639 Pascal St S,55116,44.922181,-93.162293
10/28/2024,550000,12/17/2024,563000,3,3,3404,12824,Saint Paul,860 Ivy Ave W,55117,44.980805,-93.136377
3/20/2025,319900,4/18/2025,310000,4,2,1643,5358,Saint Paul,1517 Dale St N,55117,44.986988,-93.126544
10/18/2024,279000,1/7/2025,279000,3,2,1488,4879,Saint Paul,916 Ivy Ave E,55106,44.980881,-93.061875
,,4/21/2025,57000,2,1,1029,6360,Saint Paul,1021 Minnehaha Ave E,55106,44.963315,-93.057443
4/15/2025,525000,4/29/2025,575000,3,2,2593,5401,Saint Paul,2103 Hartford Ave,55116,44.92368,-93.189167
4/3/2025,225000,5/7/2025,225000,2,1,885,5009,Saint Paul,928 Lawson Ave E,55106,44.971864,-93.061378
2/3/2025,275000,3/7/2025,315000,4,1.5,1897,7841,Saint Paul,2139 Cottage Ave E,55119,44.983195,-93.010337
7/26/2024,219999,12/11/2024,220000,3,1,1321,4922,Saint Paul,691 Edmund Ave,55104,44.958697,-93.129405
11/4/2024,549000,12/17/2024,549000,2,2,1795,8973,Saint Paul,2150 Niles Ave,55116,44.924982,-93.191331
11/13/2024,475000,1/21/2025,475000,3,2,1507,4356,Saint Paul,1126 Edgcumbe Rd,55105,44.930251,-93.147762
,,2/3/2025,251250,3,2,1504,4961,Saint Paul,1866 Hyacinth Ave E,55119,44.979952,-93.021618
1/15/2025,200000,1/31/2025,200000,3,1,1236,4574,Saint Paul,862 Smith Ave S,55107,44.92015,-93.101468
,,5/7/2025,334900,3,1,1312,4800,Saint Paul,2210 Saint Anthony Ave,55104,44.956105,-93.195011
10/10/2024,293000,12/11/2024,287000,3,1,1340,5184,Saint Paul,1362 Stanford Ave,55105,44.932157,-93.157814
10/22/2024,250000,12/31/2024,255500,5,2,1954,3093,Saint Paul,415 Mount Ida St,55130,44.962476,-93.083099
