list_date,list_price,sold_date,sold_price,beds,baths,sqft,lot_sqft,city,street,zip,latitude,longitude
2025-01-31,209900,2025-03-31,209900,2,1.5,904,4704,Saint Paul,868 Algonquin Ave,55119,44.967562,-93.017718
2024-11-15,374900,2024-12-13,391000,3,1.5,1534,4966,Saint Paul,1246 Bayard Ave,55116,44.922167,-93.152861
2024-12-20,275000,2025-01-10,266800,3,1,1297,6534,Saint Paul,967 California Ave W,55117,44.991249,-93.140914
2025-01-23,500000,2025-02-28,505003,3,2,1636,5009,Saint Paul,2098 Pinehurst Ave,55116,44.918628,-93.189055
2025-03-18,425000,2025-04-08,475000,4,1,1750,7362,Saint Paul,2129 Sargent Ave,55105,44.935472,-93.190323
2024-09-03,189900,2024-12-11,189900,2,1,832,4792,Saint Paul,536 Edmund Ave,55103,44.958192,-93.122838
2024-12-01,324900,2025-01-31,325000,3,1.5,2185,6055,Saint Paul,627-629 Minnehaha Ave E,55130,44.963264,-93.074138
2024-11-19,214900,2025-01-09,210000,2,1,926,5001,Saint Paul,1631 Woodbridge St,55117,44.990397,-93.108765
2024-11-25,375000,2025-01-03,365000,3,2.5,1435,5227,Saint Paul,1659 Fernwood St,55108,44.991212,-93.151727
2024-10-18,279000,2025-01-07,279000,3,2,1488,4879,Saint Paul,916 Ivy Ave E,55106,44.980881,-93.061875
2025-03-20,319900,2025-04-18,310000,4,2,1643,5358,Saint Paul,1517 Dale St N,55117,44.986988,-93.126544
2024-10-04,259900,2025-01-10,260000,3,2,1141,6186,Saint Paul,46 Orange Ave W,55117,44.979017,-93.102185
2025-01-25,264900,2025-02-28,285000,2,1,1138,7841,Saint Paul,994 Chatsworth St N,55103,44.971162,-93.141206
2024-10-24,585000,2024-12-12,575000,5,2.5,3945,10629,Saint Paul,1893 Marshall Ave,55104,44.948731,-93.18017
2025-04-15,525000,2025-04-29,575000,3,2,2593,5401,Saint Paul,2103 Hartford Ave,55116,44.92368,-93.189167
2025-01-02,429900,2025-02-28,429900,3,2,1761,6098,Saint Paul,639 Pascal St S,55116,44.922181,-93.162293
,,2025-04-21,57000,2,1,1029,6360,Saint Paul,1021 Minnehaha Ave E,55106,44.963315,-93.057443
2025-04-03,225000,2025-05-07,225000,2,1,885,5009,Saint Paul,928 Lawson Ave E,55106,44.971864,-93.061378
2025-04-18,289900,2025-05-12,296000,3,1,1400,6665,Saint Paul,1531 Alameda St,55117,44.987229,-93.130339
,,2025-01-27,200000,3,1,2000,7579,Saint Paul,1726 Iowa Ave E,55106,44.988994,-93.027323
2025-02-18,825000,2025-03-31,825000,6,3.5,3113,6403,Saint Paul,496 Marshall Ave,55102,44.948277,-93.121098
2024-11-11,165000,2025-01-17,165000,2,1,768,4400,Saint Paul,1166 Jackson St,55117,44.976258,-93.096047
,,2025-01-10,267500,3,1,978,5192,Saint Paul,779 Fry St,55104,44.964602,-93.169975
2024-10-11,240000,2024-12-16,260000,4,2,1830,6621,Saint Paul,401 Johnson Pkwy,55106,44.954149,-93.049324
,,2025-03-24,110900,2,1,1307,4918,Saint Paul,1130 Beech St,55106,44.961914,-93.052668
2024-10-10,293000,2024-12-11,287000,3,1,1340,5184,Saint Paul,1362 Stanford Ave,55105,44.932157,-93.157814
2025-02-13,489900,2025-03-31,532000,3,2,1795,5580,Saint Paul,1469 Osceola Ave,55105,44.936343,-93.162341
2024-10-28,550000,2024-12-17,563000,3,3,3404,12824,Saint Paul,860 Ivy Ave W,55117,44.980805,-93.136377
2024-07-26,219999,2024-12-11,220000,3,1,1321,4922,Saint Paul,691 Edmund Ave,55104,44.958697,-93.129405
2024-11-13,475000,2025-01-21,475000,3,2,1507,4356,Saint Paul,1126 Edgcumbe Rd,55105,44.930251,-93.147762
,,2025-02-03,251250,3,2,1504,4961,Saint Paul,1866 Hyacinth Ave E,55119,44.979952,-93.021618
2024-11-04,549000,2024-12-17,549000,2,2,1795,8973,Saint Paul,2150 Niles Ave,55116,44.924982,-93.191331
2025-01-15,200000,2025-01-31,200000,3,1,1236,4574,Saint Paul,862 Smith Ave S,55107,44.92015,-93.101468
2025-02-03,275000,2025-03-07,315000,4,1.5,1897,7841,Saint Paul,2139 Cottage Ave E,55119,44.983195,-93.010337
2025-01-09,285000,2025-02-27,290000,3,1,1251,6970,Saint Paul,2149 Fremont Ave E,55119,44.957893,-93.009827
2024-09-26,249900,2024-12-06,260000,3,1,1365,5227,Saint Paul,682 Cottage Ave E,55106,44.982603,-93.071865
,,2025-03-31,145000,2,1.5,1120,6835,Saint Paul,555 Arlington Ave W,55117,44.984738,-93.123289
,,2025-05-07,334900,3,1,1312,4800,Saint Paul,2210 Saint Anthony Ave,55104,44.956105,-93.195011
2024-10-22,250000,2024-12-31,255500,5,2,1954,3093,Saint Paul,415 Mount Ida St,55130,44.962476,-93.083099
,,2024-12-19,210000,4,2,1995,7754,Saint Paul,1181 Raymond Ave,55108,44.976875,-93.190845
2024-11-19,419500,2025-01-07,410000,3,2,2708,9888,Saint Paul,1311 Van Buren Ave,55104,44.9623,-93.155623
,,2025-03-04,187540,4,1,1080,3101,Saint Paul,939 Woodbridge St,55117,44.969619,-93.10886
2025-02-03,259900,2025-03-21,226000,3,1,1702,5227,Saint Paul,1935 Cottage Ave E,55119,44.983178,-93.018649
,,2024-12-30,260000,2,1,1456,7562,Saint Paul,849 Ivy Ave E,55106,44.981397,-93.064605
2025-03-08,509900,2025-04-24,485000,4,1.5,2360,6229,Saint Paul,1154 Ivy Ave E,55106,44.980697,-93.052195
2024-07-12,1350000,2025-01-17,1266455,5,4.5+,5991,24916,Saint Paul,1027 Summit Ave,55105,44.941908,-93.143428
2025-01-22,389900,2025-02-21,375000,2,1.5,1048,7449,Saint Paul,1802 Lincoln Ave,55105,44.938815,-93.176476
2024-06-03,329900,2025-01-20,329900,3,3,1248,4639,Saint Paul,852 James Ave,55102,44.927482,-93.136055
2024-12-30,539900,2025-02-28,595000,4,2.5,1775,4356,Saint Paul,1186 Hague Ave,55104,44.945576,-93.150369
2024-10-19,345000,2025-03-03,347000,3,1,1506,6534,Saint Paul,565 Frontenac Pl,55104,44.957213,-93.205666
2024-11-06,1075000,2025-03-17,1060000,4,3.5,3565,4835,Saint Paul,1439 Eleanor Ave,55116,,
2025-01-20,334900,2025-03-03,334900,3,2,2075,4879,Saint Paul,1132 Edmund Ave,55104,44.958188,-93.148082
2024-12-16,1200000,2025-01-03,1200000,6,5,5955,8843,Saint Paul,916 Lincoln Ave,55105,44.93859,-93.138734
2025-02-16,269900,2025-03-27,269900,3,2.5,1726,5576,Saint Paul,718 Bellows St,55107,44.924359,-93.092332
2025-02-11,199000,2025-03-20,220000,2,1,900,7187,Saint Paul,1732 Beech St,55106,44.96195,-93.02717
2025-02-14,189900,2025-04-02,200000,2,1,1104,4879,Saint Paul,1160 Beech St,55106,44.961921,-93.051583
,,2025-04-25,245000,3,1,1188,5279,Saint Paul,786 Iglehart Ave,55104,44.949231,-93.13355
