list_date,list_price,sold_date,sold_price,beds,baths,sqft,lot_sqft,city,street,zip,latitude,longitude,days_on_market,price_per_sqft,beds_baths_ratio,month_listed,year_listed
2025-01-31,209900.0,2025-03-31,209900,2.0,1.5,904.0,4704.0,Saint Paul,868 Algonquin Ave,55119,44.967562,-93.017718,59,232.19026548672565,0.8,1,2025
2024-11-15,374900.0,2024-12-13,391000,3.0,1.5,1534.0,4966.0,Saint Paul,1246 Bayard Ave,55116,44.922167,-93.152861,28,244.39374185136896,1.2,11,2024
2024-12-20,275000.0,2025-01-10,266800,3.0,1.0,1297.0,6534.0,Saint Paul,967 California Ave W,55117,44.991249,-93.140914,21,212.02775636083268,1.5,12,2024
2025-01-23,500000.0,2025-02-28,505003,3.0,2.0,1636.0,5009.0,Saint Paul,2098 Pinehurst Ave,55116,44.918628,-93.189055,36,305.6234718826406,1.0,1,2025
2025-03-18,425000.0,2025-04-08,475000,4.0,1.0,1750.0,7362.0,Saint Paul,2129 Sargent Ave,55105,44.935472,-93.190323,21,242.85714285714286,2.0,3,2025
2024-09-03,189900.0,2024-12-11,189900,2.0,1.0,832.0,4792.0,Saint Paul,536 Edmund Ave,55103,44.958192,-93.122838,99,228.24519230769232,1.0,9,2024
2024-12-01,324900.0,2025-01-31,325000,3.0,1.5,2185.0,6055.0,Saint Paul,627-629 Minnehaha Ave E,55130,44.963264,-93.074138,61,148.69565217391303,1.2,12,2024
2024-11-19,214900.0,2025-01-09,210000,2.0,1.0,926.0,5001.0,Saint Paul,1631 Woodbridge St,55117,44.990397,-93.108765,51,232.07343412526998,1.0,11,2024
2024-11-25,375000.0,2025-01-03,365000,3.0,2.5,1435.0,5227.0,Saint Paul,1659 Fernwood St,55108,44.991212,-93.151727,39,261.3240418118467,0.8571428571428571,11,2024
2024-10-18,279000.0,2025-01-07,279000,3.0,2.0,1488.0,4879.0,Saint Paul,916 Ivy Ave E,55106,44.980881,-93.061875,81,187.5,1.0,10,2024
2025-03-20,319900.0,2025-04-18,310000,4.0,2.0,1643.0,5358.0,Saint Paul,1517 Dale St N,55117,44.986988,-93.126544,29,194.70480827754108,1.3333333333333333,3,2025
2024-10-04,259900.0,2025-01-10,260000,3.0,2.0,1141.0,6186.0,Saint Paul,46 Orange Ave W,55117,44.979017,-93.102185,98,227.7826468010517,1.0,10,2024
2025-01-25,264900.0,2025-02-28,285000,2.0,1.0,1138.0,7841.0,Saint Paul,994 Chatsworth St N,55103,44.971162,-93.141206,34,232.7768014059754,1.0,1,2025
2024-10-24,585000.0,2024-12-12,575000,5.0,2.5,3945.0,10629.0,Saint Paul,1893 Marshall Ave,55104,44.948731,-93.18017,49,148.2889733840304,1.4285714285714286,10,2024
2025-04-15,525000.0,2025-04-29,575000,3.0,2.0,2593.0,5401.0,Saint Paul,2103 Hartford Ave,55116,44.92368,-93.189167,14,202.4681835711531,1.0,4,2025
2025-01-02,429900.0,2025-02-28,429900,3.0,2.0,1761.0,6098.0,Saint Paul,639 Pascal St S,55116,44.922181,-93.162293,57,244.12265758091993,1.0,1,2025
