list_date,list_price,sold_date,sold_price,beds,baths,sqft,lot_sqft,city,street,zip,latitude,longitude
2025-01-23,500000,2025-02-28,505003,3,2.0,1636,5009,Saint Paul,2098 Pinehurst Ave,55116,44.918628,-93.189055
2024-09-03,189900,2024-12-11,189900,2,1.0,832,4792,Saint Paul,536 Edmund Ave,55103,44.958192,-93.122838
2024-12-20,275000,2025-01-10,266800,3,1.0,1297,6534,Saint Paul,967 California Ave W,55117,44.991249,-93.140914
2024-12-01,324900,2025-01-31,325000,3,1.5,2185,6055,Saint Paul,627-629 Minnehaha Ave E,55130,44.963264,-93.074138
2024-11-19,214900,2025-01-09,210000,2,1.0,926,5001,Saint Paul,1631 Woodbridge St,55117,44.990397,-93.108765
2024-11-15,374900,2024-12-13,391000,3,1.5,1534,4966,Saint Paul,1246 Bayard Ave,55116,44.922167,-93.152861
2025-01-31,209900,2025-03-31,209900,2,1.5,904,4704,Saint Paul,868 Algonquin Ave,55119,44.967562,-93.017718
2025-03-18,425000,2025-04-08,475000,4,1.0,1750,7362,Saint Paul,2129 Sargent Ave,55105,44.935472,-93.190323
2024-10-24,585000,2024-12-12,575000,5,2.5,3945,10629,Saint Paul,1893 Marshall Ave,55104,44.948731,-93.18017
2024-10-04,259900,2025-01-10,260000,3,2.0,1141,6186,Saint Paul,46 Orange Ave W,55117,44.979017,-93.102185
2025-01-25,264900,2025-02-28,285000,2,1.0,1138,7841,Saint Paul,994 Chatsworth St N,55103,44.971162,-93.141206
2025-01-02,429900,2025-02-28,429900,3,2.0,1761,6098,Saint Paul,639 Pascal St S,55116,44.922181,-93.162293
2024-10-28,550000,2024-12-17,563000,3,3.0,3404,12824,Saint Paul,860 Ivy Ave W,55117,44.980805,-93.136377
2025-03-20,319900,2025-04-18,310000,4,2.0,1643,5358,Saint Paul,1517 Dale St N,55117,44.986988,-93.126544
2024-10-18,279000,2025-01-07,279000,3,2.0,1488,4879,Saint Paul,916 Ivy Ave E,55106,44.980881,-93.061875
,,2025-04-21,57000,2,1.0,1029,6360,Saint Paul,1021 Minnehaha Ave E,55106,44.963315,-93.057443
2025-04-15,525000,2025-04-29,575000,3,2.0,2593,5401,Saint Paul,2103 Hartford Ave,55116,44.92368,-93.189167
2025-04-03,225000,2025-05-07,225000,2,1.0,885,5009,Saint Paul,928 Lawson Ave E,55106,44.971864,-93.061378
2025-02-03,275000,2025-03-07,315000,4,1.5,1897,7841,Saint Paul,2139 Cottage Ave E,55119,44.983195,-93.010337
2024-07-26,219999,2024-12-11,220000,3,1.0,1321,4922,Saint Paul,691 Edmund Ave,55104,44.958697,-93.129405
2024-11-04,549000,2024-12-17,549000,2,2.0,1795,8973,Saint Paul,2150 Niles Ave,55116,44.924982,-93.191331
2024-11-13,475000,2025-01-21,475000,3,2.0,1507,4356,Saint Paul,1126 Edgcumbe Rd,55105,44.930251,-93.147762
,,2025-02-03,251250,3,2.0,1504,4961,Saint Paul,1866 Hyacinth Ave E,55119,44.979952,-93.021618
2025-01-15,200000,2025-01-31,200000,3,1.0,1236,4574,Saint Paul,862 Smith Ave S,55107,44.92015,-93.101468
,,2025-05-07,334900,3,1.0,1312,4800,Saint Paul,2210 Saint Anthony Ave,55104,44.956105,-93.195011
2024-10-10,293000,2024-12-11,287000,3,1.0,1340,5184,Saint Paul,1362 Stanford Ave,55105,44.932157,-93.157814
2024-10-22,250000,2024-12-31,255500,5,2.0,1954,3093,Saint Paul,415 Mount Ida St,55130,44.962476,-93.083099
2025-02-13,489900,2025-03-31,532000,3,2.0,1795,5580,Saint Paul,1469 Osceola Ave,55105,44.936343,-93.162341
2024-10-11,240000,2024-12-16,260000,4,2.0,1830,6621,Saint Paul,401 Johnson Pkwy,55106,44.954149,-93.049324
,,2025-01-10,267500,3,1.0,978,5192,Saint Paul,779 Fry St,55104,44.964602,-93.169975
2025-03-08,509900,2025-04-24,485000,4,1.5,2360,6229,Saint Paul,1154 Ivy Ave E,55106,44.980697,-93.052195
,,2025-01-27,200000,3,1.0,2000,7579,Saint Paul,1726 Iowa Ave E,55106,44.988994,-93.027323
,,2025-03-24,110900,2,1.0,1307,4918,Saint Paul,1130 Beech St,55106,44.961914,-93.052668
,,2024-12-19,210000,4,2.0,1995,7754,Saint Paul,1181 Raymond Ave,55108,44.976875,-93.190845
2024-07-12,1350000,2025-01-17,1266455,5,4.5,5991,24916,Saint Paul,1027 Summit Ave,55105,44.941908,-93.143428
2025-02-11,199000,2025-03-20,220000,2,1.0,900,7187,Saint Paul,1732 Beech St,55106,44.96195,-93.02717
2024-06-03,329900,2025-01-20,329900,3,3.0,1248,4639,Saint Paul,852 James Ave,55102,44.927482,-93.136055
,,2025-03-04,187540,4,1.0,1080,3101,Saint Paul,939 Woodbridge St,55117,44.969619,-93.10886
,,2024-12-30,260000,2,1.0,1456,7562,Saint Paul,849 Ivy Ave E,55106,44.981397,-93.064605
2024-11-19,419500,2025-01-07,410000,3,2.0,2708,9888,Saint Paul,1311 Van Buren Ave,55104,44.9623,-93.155623
2025-02-03,259900,2025-03-21,226000,3,1.0,1702,5227,Saint Paul,1935 Cottage Ave E,55119,44.983178,-93.018649
2024-12-30,539900,2025-02-28,595000,4,2.5,1775,4356,Saint Paul,1186 Hague Ave,55104,44.945576,-93.150369
2025-02-18,382500,2025-03-31,382500,3,1.5,1568,6098,Saint Paul,1934 Dorothea Ave,55116,44.90543,-93.181659
2024-10-19,345000,2025-03-03,347000,3,1.0,1506,6534,Saint Paul,565 Frontenac Pl,55104,44.957213,-93.205666
2025-02-16,269900,2025-03-27,269900,3,2.5,1726,5576,Saint Paul,718 Bellows St,55107,44.924359,-93.092332
2024-12-16,1200000,2025-01-03,1200000,6,5.0,5955,8843,Saint Paul,916 Lincoln Ave,55105,44.93859,-93.138734
2024-11-06,1075000,2025-03-17,1060000,4,3.5,3565,4835,Saint Paul,1439 Eleanor Ave,55116,,
2025-01-20,334900,2025-03-03,334900,3,2.0,2075,4879,Saint Paul,1132 Edmund Ave,55104,44.958188,-93.148082
2024-10-08,255000,2025-01-24,237000,3,2.0,2010,7362,Saint Paul,1261 Beech St,55106,44.962455,-93.047243
2024-10-29,250000,2024-12-13,248000,4,2.0,1655,4661,Saint Paul,663 Jefferson Ave,55102,44.930907,-93.127672
,,2024-12-18,275000,3,2.0,1360,8542,Saint Paul,1607 Margaret St,55106,44.961581,-93.032501
2024-09-19,284900,2025-01-03,275000,4,2.0,1433,4400,Saint Paul,984 Jackson St,55117,44.970805,-93.09603
2025-02-20,425000,2025-04-01,422500,3,2.0,1500,4966,Saint Paul,1282 Jefferson Ave,55105,44.930301,-93.15447
2024-11-28,290000,2025-01-10,302500,3,2.0,1697,7100,Saint Paul,410 Hoyt Ave E,55130,44.987945,-93.083217
2025-02-14,189900,2025-04-02,200000,2,1.0,1104,4879,Saint Paul,1160 Beech St,55106,44.961921,-93.051583
2024-11-11,165000,2025-01-17,165000,2,1.0,768,4400,Saint Paul,1166 Jackson St,55117,44.976258,-93.096047
,,2025-01-02,389000,4,3.0,2050,9361,Saint Paul,1427 McAfee St,55106,44.984262,-93.044811
2024-11-04,315000,2025-03-17,325000,3,2.0,1353,9601,Saint Paul,149 Wyoming St E,55107,44.920673,-93.078969
2025-03-26,225000,2025-04-30,250000,3,1.0,1005,10149,Saint Paul,1734 Bush Ave,55106,44.964669,-93.027126
2025-01-10,309900,2025-03-07,320000,3,2.0,1415,8978,Saint Paul,36 E Sandra Lee Dr,55119,44.942181,-93.015927
2025-02-06,279900,2025-03-14,288000,3,1.0,1515,7492,Saint Paul,734 Smith Ave S,55107,44.923919,-93.101446
2025-04-01,185000,2025-05-16,195000,3,1.0,884,5053,Saint Paul,1739 Reaney Ave,55106,44.964276,-93.026897
,,2025-05-22,255000,3,2.0,1102,4674,Saint Paul,411 Curtice St E,55107,44.923275,-93.068091
2025-04-09,350000,2025-05-22,365000,3,2.0,1980,9583,Saint Paul,559 Lexington Pkwy S,55116,44.924683,-93.14708
2025-04-04,299900,2025-05-16,300000,4,2.0,1564,6534,Saint Paul,1662 Euclid St,55106,44.954734,-93.030138
,,2024-12-30,336000,3,1.5,1650,7745,Saint Paul,1264 Jessie St,55130,44.979349,-93.077004
2025-01-24,214900,2025-03-03,221400,2,1.0,878,4704,Saint Paul,1236 Albemarle St,55117,44.97841,-93.106851
2025-01-17,375000,2025-02-26,391000,3,2.5,1666,6098,Saint Paul,1807 Montreal Ave,55116,44.912807,-93.176427
2024-10-10,289900,2025-01-16,289900,3,1.0,1646,5881,Saint Paul,564 Larpenteur Ave E,55117,44.9917,-93.076888
2025-01-07,285000,2025-03-06,295000,2,2.0,1176,7536,Saint Paul,1067 Argyle St,55103,44.97325,-93.143075
